温州,S1线,桐岭
大连,1号线,姚家
乌鲁木齐,1号线,国际机场
太原,2号线,尖草坪
兰州,1号线,陈官营
长春,1号线,北环城路
济南,1号线,方特
昆明,1号线(环城南路-大学城南),环城南路
东莞,2号线,东莞火车站
南昌,1号线,双港
呼和浩特,1号线,伊利健康谷
厦门,1号线,镇海路
石家庄,1号线,西王
南宁,1号线,火车东站
温州,S1线,潘桥
徐州,1号线,路窝
沈阳,1号线,黎明广场
合肥,1号线,九联圩
郑州,1号线,河南工业大学
无锡,1号线,堰桥
佛山,南海有轨电车1号线,礌岗
重庆,1号线,朝天门
哈尔滨,1号线,新疆大街
福州,1号线,象峰
长沙,1号线,开福区政府
南京,S1号线(机场线),空港新城江宁
北京,S1线,苹果园
大连,1号线,大连北站
深圳,1号线/罗宝线,罗湖
杭州,1号线,湘湖
苏州,1号线,木渎
青岛,1号线,东郭庄
宁波,1号线,霞浦
常州,1号线,森林公园
西安,1号线,沣河森林公园
贵阳,1号线,小孟工业园
天津,1号线,刘园
广州,1号线,西塱
成都,1号线(五根松-韦家碾),五根松
武汉,1号线,汉口北
上海,1号线,莘庄
乌鲁木齐,1号线,大地窝堡
太原,2号线,涧河
兰州,1号线,深安大桥南
长春,1号线,庆丰路
济南,1号线,济南西站
昆明,1号线(环城南路-大学城南),昆明火车站
东莞,2号线,茶山
南昌,1号线,孔目湖
呼和浩特,1号线,西二环路
厦门,1号线,中山公园
石家庄,1号线,时光街
南宁,1号线,佛子岭
温州,S1线,动车南站
徐州,1号线,杏山子
沈阳,1号线,滂江街
合肥,1号线,丙子铺
郑州,1号线,郑大科技园
无锡,1号线,锡北运河
佛山,南海有轨电车1号线,华翠路
重庆,1号线,小什字
哈尔滨,1号线,渤海路
福州,1号线,秀山
长沙,1号线,马厂
香港,迪士尼,欣澳
南京,S1号线(机场线),禄口机场
北京,S1线,金安桥
大连,1号线,华北路
深圳,1号线/罗宝线,国贸
杭州,1号线,滨康路
苏州,1号线,金枫路
青岛,1号线,沟岔
宁波,1号线,长江路
常州,1号线,新龙
西安,1号线,北槐
贵阳,1号线,清水江路
天津,1号线,瑞景新苑
广州,1号线,坑口
成都,1号线(五根松-韦家碾),广都
武汉,1号线,滠口新城
上海,1号线,外环路
乌鲁木齐,1号线,宣仁墩
太原,2号线,胜利街
兰州,1号线,兰州城市学院(省科技馆)
长春,1号线,一匡街
济南,1号线,大杨
昆明,1号线(环城南路-大学城南),福德
东莞,2号线,榴花公园
南昌,1号线,长江路
呼和浩特,1号线,孔家营
厦门,1号线,将军祠
石家庄,1号线,长城桥
南宁,1号线,百花岭
温州,S1线,新桥
徐州,1号线,韩山
沈阳,1号线,东中街
合肥,1号线,万年埠
郑州,1号线,郑州大学
无锡,1号线,西漳
佛山,南海有轨电车1号线,夏西
重庆,1号线,较场口
哈尔滨,1号线,镜泊路
福州,1号线,罗汉山
长沙,1号线,北辰三角洲
香港,东铁线(落馬洲-紅磡),金钟
南京,S1号线(机场线),翔宇路南
北京,S1线,四道桥
大连,1号线,华南北
深圳,1号线/罗宝线,老街
杭州,1号线,西兴
苏州,1号线,汾湖路
青岛,1号线,农业大学
宁波,1号线,中河路
常州,1号线,旅游学校
西安,1号线,上林路
贵阳,1号线,长江路
天津,1号线,佳园里
广州,1号线,花地湾
成都,1号线(五根松-韦家碾),四河
武汉,1号线,滕子岗
上海,1号线,莲花路
乌鲁木齐,1号线,三工
太原,2号线,大北门
兰州,1号线,兰州海关
长春,1号线,长春站北
济南,1号线,王府庄
昆明,1号线(环城南路-大学城南),日新路
东莞,2号线,下桥
南昌,1号线,珠江路
呼和浩特,1号线,呼钢东路
厦门,1号线,文灶
石家庄,1号线,和平医院
南宁,1号线,埌东客运站
温州,S1线,德政
徐州,1号线,工农路
沈阳,1号线,中街
合肥,1号线,万达城
郑州,1号线,梧桐街
无锡,1号线,天一
佛山,南海有轨电车1号线,夏东
重庆,1号线,七星岗
哈尔滨,1号线,镜泊路
福州,1号线,福州火车站
长沙,1号线,开福寺
香港,东铁线(落馬洲-紅磡),会展
南京,S1号线(机场线),翔宇路北
北京,S1线,桥户营
大连,1号线,华南广场
深圳,1号线/罗宝线,大剧院
杭州,1号线,滨和路
苏州,1号线,玉山路
青岛,1号线,正阳中路
宁波,1号线,松花江路
常州,1号线,新桥
西安,1号线,沣东自贸园
贵阳,1号线,珠江路
天津,1号线,本溪路
广州,1号线,芳村
成都,1号线(五根松-韦家碾),华府大道
武汉,1号线,堤角
上海,1号线,锦江乐园
乌鲁木齐,1号线,迎宾路口
太原,2号线,缉虎营
兰州,1号线,马滩
长春,1号线,长春站
济南,1号线,玉符河
昆明,1号线(环城南路-大学城南),巫家坝
东莞,2号线,天宝
南昌,1号线,庐山南大道
呼和浩特,1号线,西龙王庙
厦门,1号线,湖滨东路
石家庄,1号线,烈士陵园
南宁,1号线,凤岭
温州,S1线,龙霞路
徐州,1号线,人民广场
沈阳,1号线,怀远门
合肥,1号线,云谷路
郑州,1号线,兰寨
无锡,1号线,刘潭
佛山,南海有轨电车1号线,康怡公园
重庆,1号线,两路口
哈尔滨,1号线,瓦盆窑
福州,1号线,斗门
长沙,1号线,文昌阁
香港,东铁线(落馬洲-紅磡),红磡
南京,S1号线(机场线),正方中路
北京,S1线,上岸
大连,1号线,千山路
深圳,1号线/罗宝线,大剧院
杭州,1号线,江陵路
苏州,1号线,狮子山
青岛,1号线,小寨子
宁波,1号线,大碶
常州,1号线,常州北站
西安,1号线,后卫寨
贵阳,1号线,望城坡
天津,1号线,勤俭道
广州,1号线,黄沙
成都,1号线(五根松-韦家碾),天府五街
武汉,1号线,新荣
上海,1号线,上海南站
乌鲁木齐,1号线,植物园
太原,2号线,府西街
兰州,1号线,土门墩
长春,1号线,胜利公园
济南,1号线,赵营
昆明,1号线(环城南路-大学城南),昌宏西路
东莞,2号线,东城
南昌,1号线,绿茵路
呼和浩特,1号线,乌兰夫纪念馆
厦门,1号线,莲坂
石家庄,1号线,新百广场
南宁,1号线,东盟商务区
温州,S1线,惠民路
徐州,1号线,苏堤路
沈阳,1号线,青年大街
合肥,1号线,金斗公园
郑州,1号线,铁炉
无锡,1号线,庄前
佛山,南海有轨电车1号线,平西
重庆,1号线,鹅岭
哈尔滨,1号线,同江路
福州,1号线,树兜
长沙,1号线,培元桥
香港,东铁线(落馬洲-紅磡),旺角东
南京,S1号线(机场线),吉印大道
北京,S1线,栗园庄
大连,1号线,松江路
深圳,1号线/罗宝线,科学馆
杭州,1号线,近江
苏州,1号线,塔园路
青岛,1号线,凤岗路
宁波,1号线,邬隘
常州,1号线,北郊中学
西安,1号线,三桥
贵阳,1号线,沙冲路
天津,1号线,洪湖里
广州,1号线,长寿路
成都,1号线(五根松-韦家碾),天府三街
武汉,1号线,丹水池
上海,1号线,漕宝路
乌鲁木齐,1号线,体育中心
太原,2号线,开化寺街
兰州,1号线,兰州西站北广场
长春,1号线,人民广场
济南,1号线,紫薇路
昆明,1号线(环城南路-大学城南),晓东村
东莞,2号线,旗峰公园
南昌,1号线,卫东
呼和浩特,1号线,附属医院
厦门,1号线,莲花路口
石家庄,1号线,解放广场
南宁,1号线,万象城
温州,S1线,三垟湿地
徐州,1号线,徐医附院
沈阳,1号线,南市场
合肥,1号线,塘西河公园
郑州,1号线,市民中心
无锡,1号线,民丰
佛山,南海有轨电车1号线,平南
重庆,1号线,大坪
哈尔滨,1号线,哈尔滨南站
福州,1号线,屏山
长沙,1号线,五一广场
香港,东铁线(落馬洲-紅磡),九龙塘
北京,S1线,小园
南京,S1号线(机场线),河海大学·佛城西路
大连,1号线,东纬路
深圳,1号线/罗宝线,华强路
杭州,1号线,婺江路
苏州,1号线,滨河路
青岛,1号线,流亭
宁波,1号线,宝幢
常州,1号线,外国语学校
西安,1号线,皂河
贵阳,1号线,贵阳火车站
天津,1号线,西站
广州,1号线,陈家祠
成都,1号线(五根松-韦家碾),世纪城
武汉,1号线,徐州新村
上海,1号线,上海体育馆
乌鲁木齐,1号线,铁路局
太原,2号线,大南门
兰州,1号线,西站什字
长春,1号线,解放大路
济南,1号线,大学城
昆明,1号线(环城南路-大学城南),珥季路
东莞,2号线,鸿福路
南昌,1号线,地铁大厦
呼和浩特,1号线,新华广场
厦门,1号线,吕厝
石家庄,1号线,平安大街
南宁,1号线,会展中心
温州,S1线,龙腾路
徐州,1号线,彭城广场
沈阳,1号线,太原街
合肥,1号线,紫庐
郑州,1号线,西流湖
无锡,1号线,无锡火车站
佛山,南海有轨电车1号线,玉器街
重庆,1号线,石油路
哈尔滨,1号线,哈达
福州,1号线,东街口
长沙,1号线,黄兴广场
香港,东铁线(落馬洲-紅磡),大围
北京,S1线,石厂
南京,S1号线(机场线),翠屏山
大连,1号线,春柳
深圳,1号线/罗宝线,岗厦
杭州,1号线,城站
苏州,1号线,西环路
青岛,1号线,仙家寨(汽车北站)
宁波,1号线,五乡
常州,1号线,环球港
西安,1号线,枣园
贵阳,1号线,河滨公园
天津,1号线,西北角
广州,1号线,西门口
成都,1号线(五根松-韦家碾),锦城广场
武汉,1号线,二七路
上海,1号线,徐家汇
乌鲁木齐,1号线,小西沟
太原,2号线,体育馆
兰州,1号线,七里河
长春,1号线,东北师大
济南,1号线,园博园
昆明,1号线(环城南路-大学城南),星耀路
东莞,2号线,西平
